id,title,popularity,date,vote_count,vote_average,overview,poster_path
496243,パラサイト 半地下の家族,164.992,2019-05-30,10674,8.5,過去に度々事業に失敗、計画性も仕事もないが楽天的な父キム・ギテク。そんな甲斐性なしの夫に強くあたる母チュンスク。大学受験に落ち続け、若さも能力も持て余している息子ギウ。美大を目指すが上手くいかず、予備校に通うお金もない娘ギジョンは、“ 半地下住宅”で 暮らす貧しい4人家族だ。“半地下”の家は、暮らしにくい。窓を開ければ、路上で散布される消毒剤が入ってくる。電波が悪い。Wi-Fiも弱い。水圧が低いからトイレが家の一番高い位置に鎮座している。家族全員、ただただ“普通の暮らし”がしたい。受験経験は豊富だが学歴のないギウは、ある時、エリート大学生の友人から留学中の代打を頼まれる。ギウが向かった先は、IT企業の社長パク・ドンイク一家が暮らす高台の大豪邸だった。,/l9DsijC1FGfyUseyYi0kesijCNA.jpg
630566,Clouds,44.197,2020-10-09,601,8.5,,/d0OdD1I8qAfETvE9Rp9Voq7R8LR.jpg
497,グリーンマイル,47.253,1999-12-10,11783,8.5,大恐慌中の1935年。コールドマウンテン刑務所にあり、処刑室に続く通路があせた緑色であるため、“グリーンマイル”と呼ばれる死刑囚専用棟に殺人犯コーフィが収監される。だが、幼女惨殺の罪状とは裏腹に、コーフィは素晴らしい力を持っていた。彼は看守長ポールの重度の尿路感染症を治癒し、残忍な看守パーシーに踏み殺されたネズミをよみがえらせる。奇跡を目の当たりにしたポールはコーフィが本当に殺人犯なのか疑いだす。,/hV6ex5WLESJT5MMEvxvre7dva4e.jpg
680,パルプ・フィクション,53.581,1994-09-10,20562,8.5,強盗の計画を立てているカップルを導入部に、盗まれたトランクを取り戻そうとする二人組のギャング、ビンセントとジュールス。ボスの情婦と一晩のデートをするハメになるビンセント。ボクシングの八百長試合で金を受け取るボクサーのブッチ。誤って人を殺し血塗れになった車の処理に右往左往するビンセントとジュールス。ギャングのボス、マーセルスを軸としたこれらの物語がラストに向けて収束していく。,/zfbioY0VoORe1hBveFNX8wzyrf9.jpg
637,ライフ・イズ・ビューティフル,32.991,1997-12-20,9863,8.5,『ライフ・イズ・ビューティフル』（原題：La vita è bella、英題：Life Is Beautiful）は、1997年のイタリア映画。ロベルト・ベニーニ監督・脚本・主演作品。第二次世界大戦下のユダヤ人迫害（ホロコースト）を、ユダヤ系イタリア人の親子の視点から描いた作品である。  カンヌ国際映画祭で審査員グランプリを受賞。第71回米国アカデミー賞で作品賞ほか7部門にノミネートされ、そのうち、主演男優賞、作曲賞、外国語映画賞を受賞した。また、トロント国際映画祭の観客賞やセザール賞の外国映画賞も受賞している。,/hae9jX58mqPESnArTsIcXSL0yqc.jpg
389,十二人の怒れる男,24.451,1957-04-10,5337,8.5,既に法廷劇の代名詞となって久しい、アメリカ映画史に輝く傑作ドラマ。元々は高い評価を受けたTV作品で、その脚本・演出コンビによる映画版だが、そのいかにもTV向きの密室劇を上手くスクリーンに転化させた手腕は見事の一言。17歳の少年が起こした殺人事件に関する陪審員の討論が始まったが、誰が見ても有罪と思えたその状況下で、ひとりの陪審員が無罪を主張した事から物語は動き始める……。,/uafwJim8CvXurRkvapefSaydZgR.jpg
13,フォレスト・ガンプ／一期一会,45.345,1994-07-06,19956,8.5,1940年代、アラバマ州で生まれたフォレスト・ガンプは、知能指数こそ人に劣るが、母親にたっぷりの愛情を注がれて育ち、優しいハートと走る能力は誰にも負けない男性に成長していく。そんなフォレストは、ただひとり彼に理解を示してくれた幼なじみの女性ジェニーの愛を信じる一方、ベトナムの戦場に出征するなど、1950年代に始まるアメリカの歴史の大きな動きの中で、図らずも波瀾万丈の半生を送ることになる。,/r79haNzpC8hO0sExEEoHkSICfjh.jpg
155,ダークナイト,66.374,2008-07-16,24445,8.5,悪のはびこるゴッサム・シティーを舞台に、ジム警部補やハービー・デント地方検事の協力のもと、バットマンは街で起こる犯罪撲滅の成果を上げつつあった。だが、ジョーカーと名乗る謎の犯罪者の台頭により、街は再び混乱と狂気に包まれていく。最強の敵を前に、バットマンはあらゆるハイテク技術を駆使しながら、信じるものすべてと戦わざるを得なくなっていく。,/j2aDrirI121LOg82NlmkjQk8a04.jpg
122,ロード・オブ・ザ・リング／王の帰還,72.987,2003-12-01,17144,8.5,昼なお暗いモルドールの山。フロドが眠る隣でゴラムは、彼の“愛しいしと”たる指輪を初めて手に入れたときのことを思い出していた。彼はホビットの支族ストゥア族で スメアゴルと呼ばれていた。ある日、いっしょに川で魚を釣っていたデアゴルが川に落ちてたまたま指輪を拾う。スメアゴルはその指輪を見た瞬間に指輪に魅せられ、それを奪おうとしてデアゴルを殺してしまった。そのために村を追放された彼は、指輪だけを友に長い年月を過ごすうちに指輪の魔力に蝕まれ、徐々に心身ともに変貌し現在の姿になったのだ。眠りから目覚めたサムはゴラムの邪心を疑うが、フロドはそんなサムをいさめる。,/pFGNuWHa5MELKGHr40QwLb4Yhj2.jpg
556574,ハミルトン,22.522,2020-07-03,618,8.5,,/h1B7tW0t399VDjAcWJh8m87469b.jpg
164558,One Direction: This Is Us,21.943,2013-08-30,730,8.5,,/b720e7DW3nqRJaUH9xpTtvYhnUj.jpg
429,続・夕陽のガンマン,34.83,1966-12-23,5693,8.4,コンビを組んでお尋ね者の懸賞金をだまし取っていたジョーとテュコ。二人はある日、逃走中の強奪犯から、20万ドルもの大金を奪う。だがその金をねらって、セテンサという凄腕のガンマンがやってきた……。三人の男たちの、虚虚実実の駆け引きをユーモラスに描いた痛快ウェスタン。,/c2kF4gdJSBS764bXczt2Kl5SpPZ.jpg
11216,ニュー・シネマ・パラダイス,16.382,1988-11-17,2754,8.4,イタリアの名匠ジュゼッペ・トルナトーレによる、映画史に残る至高の名作。イタリアのシチリアを舞台に、少年と映写技師が映画を通して心を通わせていく様を、感動的な音楽と繊細な人物描写で描き出す。映画監督のサルヴァトーレ（ジャック・ペラン）は、映写技師のアルフレード（フィリップ・ノワレ）という老人が死んだという知らせを受け、故郷のシチリアに帰郷する。,/Q1t8Fg8xnRPMrPhm43IzZFX2lv.jpg
769,グッドフェローズ,31.205,1990-09-12,8571,8.4,"ヘンリー・ヒル、1943年ブルックリン生まれ。大物ギャング、ポーリーのアジトで育った彼は、物心ついた頃からマフィアに憧れていた。やがて念願の""グッドフェローズ""の仲間となり、""強奪""専門のジミー、野心旺盛なチンピラ、トミーと共に犯罪に犯罪を重ねていく。が、麻薬に手を出したことから育ての親、ポーリーに見放され、さらにジミーたちが起こした600万ドル強奪事件を追うCIAの捜査の手もヘンリーに迫る。",/vRjF27uwXOu71tzCFOvvCScX9VI.jpg
311,ワンス・アポン・ア・タイム・イン・アメリカ,24.431,1984-05-23,3450,8.4,1920年代のニューヨーク。仲間と悪事の数々を働いていた少年ヌードルスはある日、マックスと運命的な出会いを果たす。そして彼らは禁酒法の隙間をぬって荒稼ぎを続け、ギャング集団として頭角を現わしていった。だがある時、ヌードルスは無謀な計画を立てたマックスを裏切り、マックスは警察に殺されてしまう。30年後、未だ自責の念に駆られるヌードルスは、ある一通の手紙を受け、久々にニューヨークへ戻って来た。,/i0enkzsL5dPeneWnjl1fCWm6L7k.jpg
522924,エンツォ レーサーになりたかった犬とある家族の物語,53.151,2019-08-08,745,8.4,,/mi5VN4ww0JZgRFJIaPxxTGKjUg7.jpg
592350,僕のヒーローアカデミア THE MOVIE ヒーローズ：ライジング,312.364,2019-12-20,618,8.4,日本のはるか南にある離島の那歩島(なぶとう)に、デクこと緑谷出久をはじめとする雄英高校ヒーロー科1年A組の面々が到着する。その目的は、伝説的ヒーローであるオールマイトの後継者育成プロジェクトの一環として、島民の生活を助ける期間限定の校外ヒーロー活動をすることだった。しばらく大きな事件が起きていない島で、彼らは忙しく動き回りながらもどこかゆったりと過ごしていた。だがある日、敵(ヴィラン)たちが前触れもなく那歩島に現れる。,/y56HkHAbSZQJjQaxlqCaRI3lIHu.jpg
346,七人の侍,20.175,1954-04-26,2185,8.4,麦の刈入れが終わる頃。とある農村では野武士たちの襲来を前に恐怖におののいていた。百姓だけで闘っても勝ち目はないが、麦を盗られれば飢え死にしてしまう。百姓たちは野盗から村を守るため侍を雇うことを決断する。やがて、百姓たちは食べるのもままならない浪人たち7人を見つけ出し、彼らとともに野武士に対抗すべく立ち上がる……。,/dCLodUvnee3dxXZRS63dAYfmsJV.jpg
539,サイコ,32.538,1960-06-22,7087,8.4,伝説的ヒッチコック・スリラーにして全てのサイコ・サスペンスのルーツ。会社の金を横領した女が立ち寄ったベイツ・モーテル。そこには管理人の青年ノーマンと離れの一軒屋に住む年老いた“母”がいた。原作はロバート・ブロック。,/nR4LD4ZJg2n6LZQpcOrLFdMq0cD.jpg
40096,O Auto da Compadecida,8.03,2000-09-15,717,8.4,,/m8eFedsS7vQCZCS8WGp5n1bVD0q.jpg
550,ファイト・クラブ,45.522,1999-10-15,21102,8.4,空虚な生活を送るヤング・エグゼクティブのジャックは、謎の男テイラーに導かれるまま、謎の秘密組織「ファイト・クラブ」のメンバーになる。そこは鍛え抜かれた男達が己の拳のみを武器に闘いを繰り広げる、壮絶で危険な空間だった。,/8kNruSfhk5IoE4eZOc4UpvDn6tq.jpg
510,カッコーの巣の上で,27.609,1975-11-18,7487,8.4,州立精神病院にひとりの男が収容された。彼の名はR·P·マクマーフィ。極めて自由な精神を持ち、体制やルールに徹底して反発する彼は、慇懃な仮面を被った絶対権力者であるラチェット看護士と衝突する。不屈の姿勢を崩さないマクマーフィの影響で、体制によって無気力な人間にされていた患者たちが次第に心を取り戻し始めるのだが…。,/y9uHWRM9mppWcbumoxYti3c1b6J.jpg
537061,Steven Universe: The Movie,31.09,2019-09-02,543,8.4,,/8mRgpubxHqnqvENK4Bei30xMDvy.jpg
598,シティ・オブ・ゴッド,25.039,2002-02-05,4883,8.4,1960年代後半、ブラジル・リオデジャネイロの貧民街“シティ・オブ・ゴッド”では銃による強盗や殺人が絶え間なく続いていた。そこでは3人のチンピラ少年が幅を利かせている。ギャングに憧れる幼い少年リトル・ダイスは彼らとともにモーテル襲撃に加わり、そこで初めての人殺しを経験すると、そのまま行方をくらました。一方、3人組の一人を兄に持つ少年ブスカペは事件現場で取材記者を目にしてカメラマンを夢見るようになる。70年代、名をリトル・ゼと改めた少年リトル・ダイスは、“リオ最強のワル”となって街に舞い戻ってきた…。,/pA70WUs7KHiHltfiBN4XEELOXcS.jpg
664767,Mortal Kombat Legends: Scorpion's Revenge,565.54,2020-04-12,739,8.4,,/4VlXER3FImHeFuUjBShFamhIp9M.jpg
324857,スパイダーマン：スパイダーバース,94.672,2018-12-06,8981,8.4,スパイダーマン、死す── スパイダーマンことピーター・パーカーの突然の訃報により、ニューヨーク市民は悲しみに包まれる。13歳のマイルス・モラレスもその一人──彼こそがピーターの後を継ぐ“新生スパイダーマン”だが、その力を未だに上手くコントロール出来ずにいた。そんなある日、何者かにより時空が歪められる大事故が起こる。その天地を揺るがす激しい衝撃により歪められた時空から集められたのは、スパイダー・グウェン、スパイダーマン・ノワール、スパイダー・ハム、そしてペニー・パーカーと彼女が操るパワードスーツ。彼らは全く別の次元＝ユニバースで活躍する様々なスパイダーマン達だった。,/dXnXC5qelUQj4nhXLuTngaEtHsg.jpg
4935,ハウルの動く城,50.738,2004-11-19,6095,8.4,父親の帽子店で帽子を作って暮らしていた18歳のソフィーは、荒野の魔女の呪いで90歳の老婆の姿になってしまう。彼女はハンサムだが気弱な魔法使いハウルと出会って、彼の居城でいっしょに暮らすようになるが、その城は4本足で歩く動く城だった。,/kt2lodzyp1DMCSuH5UUw8nGzfh9.jpg
618344,Justice League Dark: Apokolips War,54.94,2020-05-05,875,8.4,,/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg
12477,火垂るの墓,0.6,1988-04-16,3333,8.4,昭和20年6月9日、神戸は大空襲に見舞われ、清太は心臓の悪い母を先に防空壕へ避難させ、幼い妹節子を連れて後を追う。空襲の後、避難所である学校に着いた清太だったが、そこには、全身にやけどを負い瀕死の母の姿があった。母はそのまま息を引き取り、清太は節子と共に西宮にある叔母の家に間借りするが、次第に清太たちを厄介者扱いするようになる。嫌味を言われ、ご飯も満足に食べさせてもらえない生活に耐え切れなくなった清太は、家出を決意し、節子と２人で池のほとりの横穴での生活を始める。,/4bVCmFmuJiADwDbwRaevHx8mQBT.jpg
378064,映画 聲の形,94.638,2016-09-17,2162,8.4,退屈すること”を何よりも嫌う少年、石田将也。ガキ大将だった小学生の彼は、転校生の少女、西宮硝子へ無邪気な好奇心を持つ。彼女が来たことを期に、少年は退屈から解放された日々を手に入れた。しかし、硝子とのある出来事がきっかけで将也は周囲から孤立してしまう。やがて五年の時を経て、別々の場所で高校生へと成長したふたり。“ある出来事”以来、固く心を閉ざしていた将也は硝子の元を訪れる。これはひとりの少年が、少女を、周りの人たちを、そして自分を受け入れようとする物語――。,/i2Enw8FboGOytXRGgb4bQRFrRpF.jpg
599,サンセット大通り,13.125,1950-08-10,1603,8.4,,/zt8aQ6ksqK6p1AopC5zVTDS9pKT.jpg
14537,切腹,14.986,1962-09-15,452,8.4,彦根藩井伊家の上屋敷に津雲半四郎と名乗る浪人が現れ「切腹のためお庭拝借」と申し出た。生活に困窮した浪人が「切腹する」と言っては、庭や玄関を汚されたくない人々から金品を巻き上げることが流行っており、家老の斎藤勘解由は数ヶ月前にやってきた千々岩求女という浪人の話を始めた。家老が切腹の場を設けてやると言い出すと、求女は狼狽したあげく、竹光で腹を切った上に舌を噛んで絶命した、と。話を聞いた半四郎は、求女は自分の娘婿であることを告げた。,/5OyHptbe0KVQqivUbYROpDJNJ5f.jpg
914,独裁者,14.302,1940-10-23,2198,8.4,チャップリンがアドルフ・ヒトラーの独裁政治を批判した作品で、ヒトラーとナチズムに対して非常に大胆に非難と風刺をしつつ、ヨーロッパにおけるユダヤ人の苦況をコミカルながらも生々しく描き、ニューヨーク映画批評家協会賞で主演男優賞を受賞した。 またこの作品は、チャップリン映画初の完全トーキー作品でもある。 1918年の第一次大戦末期、トメニアのユダヤ人一兵卒チャーリーは飛行機事故で記憶を失い入院する。それから数年後のトメニアは独裁者アデノイド・ヒンケルの天下で、ユダヤ人掃討の真っ最中。そんな折、退院したチャーリーは生まれ育ったユダヤ人街で元の床屋の職に戻る。親衛隊の傍若無人ぶり、特にそれが恋人ハンナに及ぶに至り、彼は勇猛果敢かつ抱腹絶倒のレジスタンスを開始。それがどういうわけかヒンケル総統の替え玉を演じさせられることになり……。,/1QpO9wo7JWecZ4NiBuu625FiY1j.jpg
1891,スター・ウォーズ エピソード５／帝国の逆襲,32.545,1980-05-20,12621,8.4,デス・スター壊滅の痛手から復活した帝国軍の前に、今や雪の惑星ホスで機会をうかがうしかない反乱軍。総攻撃を前にホスを脱出したレイアやハン・ソロたちは雲の惑星ベスピンへと旅立つが、ひとりルークはフォースの訓練を積むために伝説の＜ジェダイ・マスター＞ヨーダの住む惑星ダゴバへと向かった。ベスピンのクラウド・シティでソロの友人ランド・カルリシアン男爵の歓待を受けるレイアたち。だがそれはダース・ベイダーの仕組んだ罠だった。,/mbLTbU4zqdY1nOQP9OTxj9LeRTL.jpg
244786,セッション,43.655,2014-10-10,10708,8.4,名門音楽学校へと入学し、世界に通用するジャズドラマーになろうと決意するニーマン。そんな彼を待ち受けていたのは、鬼教師として名をはせるフレッチャーだった。ひたすら罵声を浴びせ、完璧な演奏を引き出すためには暴力をも辞さない彼におののきながらも、その指導に必死に食らい付いていくニーマン。だが、フレッチャーのレッスンは次第に狂気じみたものへと変化していく。,/4KMZz25xDIMXW99TXGT8GPP7FjP.jpg
73,アメリカン・ヒストリーX,26.052,1998-10-30,8349,8.4,白人至上主義の極右組織“ネオナチ”のメンバーとなったある兄弟の悲劇を通し、現代アメリカの暗部を衝いてゆく。共演にエドワード・ファーロング。父を黒人に殺された恨みから、白人至上主義グループのメンバーとなったデレク。やがて殺人事件で刑務所送りになった彼が出所してきた時、デレクは自分を崇拝する弟がメンバーとなっている事実を知る。,/c2gsmSQ2Cqv8zosqKOCwRS0GFBS.jpg
3782,生きる,12.555,1952-10-09,629,8.4,市役所の市民課長・渡辺勘治は30年間無欠勤のまじめな男。ある日、渡辺は自分が胃癌であることを知る。命が残り少ないと悟ったとき、渡辺はこれまでの事なかれ主義的生き方に疑問を抱く。そして、初めて真剣に申請書類に目を通す。そこで彼の目に留まったのが市民から出されていた下水溜まりの埋め立てと小公園建設に関する陳情書だった……。,/uMaLKmpxepW4Uq8lcCpels656u0.jpg
423,戦場のピアニスト,23.614,2002-09-17,6065,8.4,ナチスのワルシャワ侵攻を目の当たりにし、死の収容所送りを奇跡的に逃れたシュピルマンは、ゲットーの廃墟に身を隠すことで第二次世界大戦を生き延びる。,/3DzePKMbLMIM636S6syCy3cLPqj.jpg
901,街の灯,12.987,1931-02-01,1355,8.4,世の中は極端に不景気。小男で風彩もあがらず、服装もみすぼらしく、職もなく住むところもないチャーリーは、職にありつけそうもなく、毎日あちこちさすらい歩いてフーテン暮らしをしていた。そんな彼が一人の娘に恋をした。街角で花を売っている、盲目の貧しい娘だ。彼は彼女の目を治す為に、金を稼ごうと一大決心をするが……。,/bXNvzjULc9jrOVhGfjcc64uKZmZ.jpg
567,裏窓,18.756,1954-09-01,4271,8.4,カメラマンのジェフは足を骨折し、ニューヨークはグリニッチ・ヴィレッジのアパートで療養中。身動きの取れない彼にとって退屈しのぎの楽しみは、窓から見える中庭と向いのアパートの住人たちを眺める事だけ。だが、その中で、セールスマンの夫と激しい口論をしていた病床の妻の姿が見えなくなった事に気づいた。セールスマンの様子を窺う内に、ジェフはその男が女房を殺したのではないかと推測、恋人のリザと看護人ステラの協力を得て調査を始めるのだが……。,/v1bKkjiZO0DamWqAGh2fLZYfFuQ.jpg
527641,Five Feet Apart,77.845,2019-03-15,3949,8.4,,/kreTuJBkUjVWePRfhHZuYfhNE1T.jpg
18491,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に - THE END OF EVANGELION,30.491,1997-07-19,706,8.4,第25話「Air」 全ての使徒を倒したNERVに対し、サードインパクト発動を目論むゼーレが戦略自衛隊を使った武力占拠を開始する。施設が次々と破壊・占拠されていく中、シンジは戦自隊員に発見され殺されそうになるが、生きる意思を失くしていたシンジは抵抗すらしなかった。それをミサトが寸前で救出するが、移動中に銃撃に遭って負傷し、シンジにEVAで戦うよう言い残して命を落とす。  第26話 「まごころを、君に」シンジを乗せたEVA初号機を依代としてサードインパクトが始まる。これによって人類は個体の生命体としての姿を保てなくなり液化して崩れていき、その魂は「黒き月」に集められる。初号機はレイやカヲルの姿をとる巨人（第2使徒リリス）に取り込まれ、シンジはレイとカヲルに再会する。そこでシンジは人類が単体の生命となることを望まず、それぞれの個人がいる従来の世界を望みリリスは首から血を噴き出しながら倒れ崩れ落ちていく。,/vIWonMqeYRmY95OEk06NvTC1h8N.jpg
128,もののけ姫,34.63,1997-07-12,5390,8.3,山里に住む若者アシタカは、怒りと憎しみにより“タタリ神”と化した猪神から呪いをかけられてしまう。呪いを解く術を求めて旅に出るアシタカはやがて、西方の地で“タタラ”の村にたどり着く。エボシ御前が率いるその村では、鉄を造り続けていたが、同時にそれは神々の住む森を破壊することでもあった。そして、そんなタタラ達に戦いを挑むサンの存在をアシタカは知る。人の子でありながら山犬に育てられた彼女は“もののけ姫”と呼ばれていた。,/k4HOqXsHwQBZslSCu2WSWLD2zgk.jpg
120,ロード・オブ・ザ・リング,86.224,2001-12-18,18608,8.3,はるか昔。闇の冥王サウロンは世界を滅ぼす魔力を秘めたひとつの指輪を作り出した。指輪の力に支配された中つ国では一人の勇者がサウロンの指を切り落とし、国を悪から救った。それから数千年の時を経た中つ国第3世紀。ある時、指輪がホビット族の青年フロドの手に渡る。しかし、指輪を取り戻そうとするサウロンの部下が迫っていた。世界を守るためには指輪をオロドルイン山の火口、“滅びの亀裂”に投げ込み破壊するしか方法はない。そこでフロドを中心とする9人の仲間が結成され、彼らは“滅びの亀裂”目指し、遥かなる冒険の旅に出るのだった。,/3Y6AjrxjsQiQNcqjprQQc3CCQRn.jpg
975,突撃,12.965,1957-09-18,1787,8.3,第一次世界大戦、フランスの最大の課題はドイツ軍の撃退だった。そんな中、ダックス大佐はドイツ軍の要所を攻略する命令を受ける。だが、兵士たちの疲労を知るダックスは、現在攻撃を仕掛ければ兵士たちが壊滅的打撃を受けると抗議する。が、軍上層部は無視、作戦は実行される。フランス軍は大敗し、ダックスは責任を問われ軍法会議にかけられる。,/Ad6WhONWzYruWk9mm6JZF2oZBwl.jpg
27205,インセプション,61.875,2010-07-15,28424,8.3,他人の夢に潜入してアイデアを盗み出す企業スパイのコブは国際指名手配犯であるが、それと同時に妻モルを殺した容疑もかけられていた。そんな彼に日本人男性サイトーからある依頼が。それはこれまでのように思考を盗み出すのではなく、標的にした人物の潜在意識に、あるアイデアを移植する“インセプション”という仕事だった。コブはサイトーを含むスペシャリスト6人を集め、標的の男性ロバートの夢に潜入しようとする。,/qzb0slJerd5bQgJxteJ5oAmfp09.jpg
452522,ツイン・ピークス,12.145,1990-04-08,441,8.3,,/2Fb8neVxZtCIXwbJ9DOk6Ra29mV.jpg
12493,天国と地獄,11.248,1963-03-01,407,8.3,ナショナル・シューズの権藤専務は、自分の息子と間違えられて運転手の息子が誘拐され、身代金3千万円を要求される。苦悩の末、権藤は運転手のために全財産を投げ出して3千万円を用意する。無事子どもは取り戻したが、犯人は巧みに金を奪い逃走してしまい、権藤自身は会社を追われてしまう……。,/cy8N6z9dU9ezamrleoAnRMmmQuy.jpg
3082,モダン・タイムス,14.073,1936-02-11,2494,8.3,大きな製鉄工場で働くチャーリーは、スパナを手にひたすらベルトコンベアーを流れる部品にねじを回し続けるという単純作業を繰り返していた。その様子はテレビモニターで監視され、休む暇もなく働かされていた。ある日、チャーリーは労働者の食事時間を節約するために作られた自動給食マシーンの実験台にされ散々な目に合わされる。その後も仕事を続けていく内にチャーリーは発狂し、トラブルを起こして精神病院送りになってしまう。ようやく退院を迎えた日、トラックから落ちた赤旗を拾い運転手に返そうと追いかけていく内にいつの間にか労働者のデモ隊の先導をきってしまい、そのリーダーと間違われて捕まって拘置所に入れられてしまう。脱獄囚を撃退した功績で模範囚として放免され造船所の仕事を紹介されるものの、上手くいかず辞めてしまい、あてもなく街をうろつく生活に陥ってしまう。  拘置所が恋しくなったチャーリーはわざと無銭飲食をして捕まえられるが、護送車の中でパンを盗んだ浮浪少女（ポーレット・ゴダード）と出会う。護送車が急カーブで横転し、外へ投げ出されたチャーリーと少女は逃亡。少女と意気投合したチャーリーは、2人のために家を建てるという夢を胸に一念発起とばかり働き出す。デパートの夜回り、工場の技師の助手と仕事を獲得するものの結局上手くいかず、2件とも警察沙汰になるという不運な結果に終わってしまう。その後少女が勤め始めたキャバレー[3]のウェイターの職を得る。見世物の「ティティナ」を歌って大成功したが、少女の微罪のため、そこも追われてしまう。やっとの思いで手に入れた幸福すらも失い悲しみに打ちひしがれる少女を、チャーリーは力強く励ます。  そして、二人は未来に希望を見出し、現代社会の冷たさと束縛に囚われない自由な生活を求めて共に旅立っていくのだった。,/7uoiKOEjxBBW0AgDGQWrlfGQ90w.jpg
