id,title,popularity,date,vote_count,vote_average,overview,poster_path
761053,Gabriel's Inferno Part III,36.282,2020-11-19,698,8.9,,/fYtHxTxlhzD4QWfEbrC1rypysSD.jpg
724089,Gabriel's Inferno Part II,8.849,2020-07-31,1161,8.8,,/pci1ArYW7oJ2eyTo2NMYEKHHiCP.jpg
19404,シャー・ルク・カーンのDDLJ／ラブゲット大作戦,15.261,1995-10-20,2638,8.8,シムランは22年前に一家でロンドンに移住してきたインド人の女の子。ある日、父のバルデーウ宛にインドの親友から手紙が舞い込む。手紙には20年前の約束通り、自分の息子とシムランを結婚させたいとあった。喜ぶ父の姿にシムランは承諾するしかなかった。結婚後はインドに定住することになるシムランは、独身最後の想い出に女友達と1ヶ月間のヨーロッパ旅行に出かける。出発の日、シムランは富豪の御曹司で、女たらしの大学生・ラージ・マルホートラーと出会う。,/4Box84D6a7Mfa6ZMmC1B246GBQq.jpg
696374,Gabriel's Inferno,13.298,2020-05-29,1922,8.7,,/oyG9TL7FcRP4EZ9Vid6uKzwdndz.jpg
278,ショーシャンクの空に,51.057,1994-09-23,18280,8.7,妻とその愛人を射殺したかどでショーシャンク刑務所送りとなった銀行家アンディ。初めは戸惑っていたが、やがて彼は自ら持つ不思議な魅力ですさんだ受刑者達の心を掴んでゆく。そして20年の歳月が流れた時、彼は冤罪を晴らす重要な証拠をつかむ。,/5NyJbE7JVfDJtP7c4CQzxgCLHFY.jpg
238,ゴッドファーザー,48.127,1972-03-14,13811,8.7,シシリーからアメリカに移住し、一代で財を成したドン・コルレオーネ。三男のマイケルはひとり堅気な人生を送ろうとしていたが、敵対するファミリーにドンが襲われ重傷を負った時、彼は報復を決意する。そしてニューヨークは抗争の場と化していった……。,/mLu2p6affykeVfe9uWFAppiRQUk.jpg
424,シンドラーのリスト,28.874,1993-11-30,11006,8.6,1939年、ポーランド南部の都市クラクフにドイツ軍が侵攻した。ドイツ人実業家のオスカー・シンドラーは、一旗揚げようとこの街にやって来た。彼は金にものを言わせて巧みに軍の幹部たちに取り入り、ユダヤ人の所有していた工場を払い下げてもらう。ユダヤ人会計士のイツァーク・シュテルンをパートナーに選んだシンドラーは、軍用ホーロー容器の事業を始める。41年3月、ユダヤ人たちは壁に囲まれたゲットー（居住区）に住むことを義務づけられる。シュテルンの活躍で、ゲットーのユダヤ人たちが無償の労働力として、シンドラーの工場に続々と集められ事業はたちまち軌道に乗る。,/sF1U4EUQS8YHUYjNl3pMGNIQyr0.jpg
372058,君の名は。,113.205,2016-08-26,7093,8.6,"1,000年に1度のすい星来訪が、1か月後に迫る日本。山々に囲まれた田舎町に住む女子高生の三葉は、町長である父の選挙運動や、家系の神社の風習などに鬱屈（うっくつ）していた。それゆえに都会への憧れを強く持っていたが、ある日彼女は自分が都会に暮らしている少年になった夢を見る。夢では東京での生活を楽しみながらも、その不思議な感覚に困惑する三葉。一方、東京在住の男子高校生・瀧も自分が田舎町に生活する少女になった夢を見る。やがて、その奇妙な夢を通じて彼らは引き合うようになっていくが……。",/iaiy3tg9QVkDpObm1IGqmbC9A5C.jpg
240,ゴッドファーザー PART II,33.548,1974-12-20,8242,8.6,亡き父のあとを継ぎドンとなったマイケルの苦悩と復讐を、父ビトーの少年時代からやがて一大ファミリーを築くまでのエピソードを交えて描いた、名作「ゴッドファーザー」の第2作。幼いビトーが青年となり、やがてファミリーを築くまでの物語と、父のあとを継ぎドンとなったマイケルの、父がそうであった頃と全く変わってしまった時代の中でのドンとしての苦悩と復讐の物語を、巧みに交差しながら展開していく。,/hqsTp0ysGUU4RsRDlJUz9LhykHJ.jpg
129,千と千尋の神隠し,73.818,2001-07-20,10912,8.5,両親と共に引越し先の新しい家へ向かう10歳の少女、千尋。しかし彼女はこれから始まる新しい生活に大きな不安を感じていた。やがて千尋たちの乗る車はいつの間にか“不思議の町”へと迷い込んでしまう。その奇妙な町の珍しさにつられ、どんどん足を踏み入れていく両親。が、彼らは“不思議の町”の掟を破ったために豚にされてしまう。,/8TEs6twIANAc2qiU8m17JO8Ujcx.jpg
